ID;Name;Bezirk;Strasse;PLZ;Stadt;Startdatum;Enddatum;Eintritt;URL;Google-Adresse
27;Wartenberger Sternenmarkt;Lichtenberg;Dorfstraße 2;13059;Berlin;;;;http://www.weihnachteninberlin.de/weihnachtsmaerkte/lichtenberg/1315544-1328116-wartenbergersternenmarkt.html;Dorfstraße 2, 13059 Berlin, Deutschland
28;Adventsmarkt Alt-Marzahn;Marzahn-Hellersdorf;Dorfkirche Marzahn, Alt-Marzahn 61;12685;Berlin;02.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/marzahn-hellersdorf/2160185-1328117-adventsmarkt-altmarzahn.html;Dorfkirche Marzahn, Alt-Marzahn 61, 12685 Berlin, Deutschland
29;Weihnachtsmarkt im Spree-Center;Marzahn-Hellersdorf;Hellersdorfer Straße 77;12627;Berlin;26.11.2012;24.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/marzahn-hellersdorf/2806681-1328117-weihnachtsmarktimmarktplatzcenterhellers.html;Hellersdorfer Straße 77, 12627 Berlin, Deutschland
30;Alt-Kaulsdorfer Weihnachtsmarkt;Marzahn-Hellersdorf;Dorfstr. 12;12621;Berlin;08.12.2012;08.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/marzahn-hellersdorf/1304741-1328117-altkaulsdorferweihnachtsmarkt.html;Dorfstr. 12, 12621 Berlin, Deutschland
31;Weihnachten im Eastgate Berlin;Marzahn-Hellersdorf;Marzahner Promenade 1A;12679;Berlin;26.11.2012;24.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/marzahn-hellersdorf/1001300-1328117-weihnachtenimeastgateberlin.html;Marzahner Promenade 1A, 12679 Berlin, Deutschland
32;Weihnachtsmarkt im Marktplatz Center Hellersdorf;Marzahn-Hellersdorf;Stendaler Str. 24;12627;Berlin;26.11.2012;24.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/marzahn-hellersdorf/1001220-1328117-weihnachtsmarktimmarktplatzcenterhellers.html;Stendaler Str. 24, 12627 Berlin, Deutschland
33;Weihnachtsmarkt am Gendarmenmarkt;Mitte;Gendarmenmarkt 1;10117;Berlin;26.11.2012;31.12.2012;1,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/971676-1328132-weihnachtszaubergendarmenmarkt.html;Gendarmenmarkt 1, 10117 Berlin, Deutschland
34;Weihnachtsmarkt am Opernpalais;Mitte;Unter den Linden 3 (Höhe);10117;Berlin;26.11.2012;26.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/971793-1328132-weihnachtsmarktamopernpalais.html;Unter den Linden 3 (Höhe), 10117 Berlin, Deutschland
35;Weihnachtsmarkt am Roten Rathaus;Mitte;Rathausstr. 15 (Höhe);10178;Berlin;26.11.2012;31.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/971790-1328132-weihnachtsmarktamrotenrathaus.html;Rathausstr. 15 (Höhe), 10178 Berlin, Deutschland
36;Weihnachtsmarkt am Potsdamer Platz;Mitte;Alte Potsdamer Straße 1;10785;Berlin;19.11.2012;26.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/971680-1328132-winterweltampotsdamerplatz.html;Alte Potsdamer Straße 1, 10785 Berlin, Deutschland
37;Weihnachtsmarkt @ Sony Center;Mitte;Potsdamer Straße 4;10785;Berlin;01.12.2012;01.01.2013;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/1011948-1328132-sternenzaubersonycenter.html;Potsdamer Straße 4, 10785 Berlin, Deutschland
38;Weihnachtsmarkt auf dem Alexanderplatz;Mitte;Alexanderplatz;10178;Berlin;;26.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/1304487-1328132-weihnachtsmarktaufdemalexanderplatz.html;Alexanderplatz, 10178 Berlin, Deutschland
39;Weihnachtsbasar im Lichthof des Auswärtigen Amts;Mitte;Werderscher Markt 1;10117;Berlin;08.12.2012;09.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/2832239-955635-weihnachtsbasar-im-lichthof-des-auswaert.html;Werderscher Markt 1, 10117 Berlin, Deutschland
40;Weihnachtsmarkt der Herzen;Mitte;Schwyzer Straße 7;13349;Berlin;02.12.2012;02.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/2832442-1328132-weihnachtsmarkt-der-herzen.html;Schwyzer Straße 7, 13349 Berlin, Deutschland
41;TrendMafia Designer-Weihnachtsmarkt;Mitte;Karl-Liebknecht-Str. 11;10178;Berlin;03.11.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/2162759-1328132-trendmafia-designerweihnachtsmarkt.html;Karl-Liebknecht-Str. 11, 10178 Berlin, Deutschland
42;Chanukka-Markt im Jüdischen Museum;Mitte;Jüdischen Museums Berlin, Lindenstraße 9-14;10969;Berlin;02.12.2012;09.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/971670-1328132-chanukkamarktimj%C3%BCdischenmuseum.html;Jüdischen Museums Berlin, Lindenstraße 9-14, 10969 Berlin, Deutschland
43;Weihnachtsmarkt auf dem Leopoldplatz;Mitte;Nazarethkirchstraße 61;13347;Berlin;27.11.2012;08.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/2180418-1328132-weihnachtsmarkt-auf-dem-leopoldplatz.html;Nazarethkirchstraße 61, 13347 Berlin, Deutschland
44;CJD Weihnachtsbasar;Mitte;Reichstagufer 14;10117;Berlin;26.12.2012;23.12.2012;0,00 €;http://www.weihnachteninberlin.de/weihnachtsmaerkte/mitte/1304845-1328132-cjdweihnachtsbasar.html;Reichstagufer 14, 10117 Berlin, Deutschland
